userName,score,at,content
Hafiz Reza308,5,2026-05-04 12:40:31,"karen banget bang sumpah,tapi malesnya ada aknum pajak"
Rahmad fadli Sefki,5,2026-05-04 12:36:32,seru
Oppo,5,2026-05-04 12:22:37,permainan ini sangat enak
Elno Liano,5,2026-05-04 12:18:53,sodop main ee
Abdulhalidmunir Halid,5,2026-05-04 11:55:10,"sudah sangat bagus, untuk grafik dan permainannya udah kaya realita,cuma permasalahan sedikit aja sama bugnya mohon di perbaiki lagi min😅"
Randi salto,4,2026-05-04 11:48:29,"game nya seruh, tapiii di game ini terlalu banyk bugg nyaa, tolong di perbaiki lagi game nyaa bjar lebih seruhh👌🏻👌🏻"
Reza Novandi,5,2026-05-04 11:45:39,"game nya seru, aku merasa menjadi CEO di game ini"
riyu febriyan,5,2026-05-04 11:45:03,semoga bisa cepat berkembang brooo
Alvian Rp,4,2026-05-04 11:27:14,min kapan bisa mabar da tambahin bibit baru tapi jangan mahal bnget dan kalau bisa mabar pasti banyak yg download 👍
Maula Fitria,5,2026-05-04 11:11:21,bang tolong perbaiki bug pas mau ke pabrik
Agra Realme,1,2026-05-04 11:04:02,jaring bagus tpi di dalam game nya ngelag banget
Ika Tarigan,1,2026-05-04 10:33:17,"gak enak grafik nya. buat HP kentang,pas ngantar sawit ke PABRIK"
Mustofa Ramadi,3,2026-05-04 10:33:03,"ini kenapa waktu mau ke pabrik malah lag layar tak bisa di gerakkan,dan padahal grafik saya sudah tinggi tapi terlihat masih seperti burik tolong diperbaiki yaa bang sat"
ragil yuniaticute,5,2026-05-04 10:25:06,game ini bagus
Fitri Ani,2,2026-05-04 10:18:08,game ini bagus tapi kenapa pas mau ke nimbang sawit ke PKS nya tiba tiba game bug lemot parah padahal jaringan bagus
muhammad ilham baiturrahman,5,2026-05-04 10:10:40,"beh gamenya seru banget,request kurangin iklan dong"
Abidzar Rizky,5,2026-05-04 09:51:39,"semangat mas buat, gema nya"
Arief Faturrahman,5,2026-05-04 09:45:29,game cocok untuk pemula
Fareza Azri,5,2026-05-04 09:16:33,wow ✪ω✪
Zaki Supriadin,1,2026-05-04 09:16:09,games udah bagus sih tapi kalau setiap update pohon sawit yang gua tanam pas login malah hilang gimana ini
Orangedan546,5,2026-05-04 09:15:28,bagus kali gamenya
Dian Saputra,5,2026-05-04 09:00:01,gamenya bagus
avib satrio,5,2026-05-04 08:54:19,mantap
Rofi Syahputra,4,2026-05-04 08:47:02,mantap
Akbar Pamungkas,5,2026-05-04 08:32:38,mantapll
Syasa Syasa,3,2026-05-04 08:21:30,bagus tapi terkadang suka ngeleq
Gemintang Wiratanika,2,2026-05-04 08:20:47,kebanyakan iklan
Riyan Daryanto,2,2026-05-04 08:20:14,bagus bgt min tapi kok lag ya kalo masuk tempat jual sawit? lag nya super parah kayak nya min pohon sawit nya yang bayak tolong di kurangin biar pas orang main di hp GK lag lagi
Muhammad Zakcyzakaria,5,2026-05-04 07:56:27,gokil la pokoknya minus cuma iklan aja
Yunanik Nanik,5,2026-05-04 07:55:46,woe piye iki buah sawitnya g mau tumbuh😸😹
Abdullah Wahid,4,2026-05-04 07:50:43,lumayan bagus
Raffi Nugroho,2,2026-05-04 07:45:55,sawit gua pindah tempat semua
Joko Trie,5,2026-05-04 07:23:42,game sangat bagus sekali
Faizal Azra,5,2026-05-04 07:10:47,baguss
Doni Pirana,1,2026-05-04 06:50:17,"bibit baru tanem terus di tinggal jual buah pas kembali lagi bibit yg baru tanem udh ilang bug nya tolong di perbaiki sementara gua berenti main dulu, klo udh bagus gua instal lagi"
Restu Ananda,1,2026-05-04 06:28:05,game ap la masak udah nanam baru 40 pokok di tinggal ngejual buah pohon nya sisa 8 game idiot
Ardiansyah Pratama,3,2026-05-04 06:18:11,bg tambah kan galah egrek panjang nya bg biar kyk asli bg pasti makin seru
Gracio Alta,3,2026-05-04 05:51:37,pas di antar ke pabrik lag parah tolong di perbaiki lag nya kasihan pengguna android lag parah!!
Sugi Arto,4,2026-05-04 05:49:15,ngelag pas mau antar sawitnya
Vardel Boman 04,5,2026-05-04 05:47:01,kren
Khairi Alfizan,5,2026-05-04 05:39:55,bisa la
Fahri Danny,5,2026-05-04 05:34:13,"untuk game nya bagus, tapi tolong bug nya di perbaiki agar main tetap seruh"
Tatik,5,2026-05-04 05:28:00,gamesangantbagus
Infinix Note 50 tgr,1,2026-05-04 05:27:42,kurang
Novi Siregar,5,2026-05-04 05:14:39,game nya seru
Sofyan Prasetyo,5,2026-05-04 05:10:15,sumpah game ini serunya minta ampun sampe lupa makan sampe pengen punya 500 hektar
Decha Rahma dani,5,2026-05-04 05:03:04,game nya bagus buat yang suka nyawit
AhmadZzaki A,4,2026-05-04 04:57:40,"game nya bagus bagus,tapi kenapa pas mau ke pabrik langsung ngeleg padahal jaringan ku lancar"
Dedi Hermanto,5,2026-05-04 04:36:22,ini gem seperti dunia nyta
Rakq,5,2026-05-04 04:26:50,"Game nya bagus bg, oh iya bang buat versi lifenya juga kayak perkecil mb nya untuk hp kentang"
Athar Rizky,5,2026-05-04 04:19:01,enak kaliiiiiiiiiii
